Sample	A1	B2	B3	B4	B5	B6	B8	C1	C3	A2	C4	C5	C6	C8	D1	D2	D3	D4	D5	A3	D6	D7	D8	A4	A5	A6	A7	A8
group	pea-minced	soy-minced	soy-minced	soy-fibrous	soy-fibrous	soy-minced	soy-minced	soy-fibrous	soy-fibrous	pea-minced	soy-fibrous	soy-fibrous	soy-fibrous	soy-fibrous	pea-minced	pea-fibrous	pea-fibrous	pea-fibrous	pea-minced	pea-minced	pea-fibrous	pea-fibrous	pea-fibrous	pea-minced	pea-minced	pea-minced	pea-minced	pea-minced
Bacteria|Desulfobacterota|Desulfovibrionia	0	0	0	0	0	0	0	0	0	0	0	0	0.00171232876712329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	0.0442692540933899	0.000492610837438424	0.000168010752688172	0.531723484848485	0	0.00299895036737142	0	0.0885805763073639	0.0446530147895336	0.00242375277721672	0.065015479876161	0.00168539325842697	0	0.000973709834469328	0.00171484566389025	0	0	0	0	0.000789577575996842	0	0	0.00196078431372549	0.000670840787119857	0	0.00106025799611239	0	0
Bacteria|Verrucomicrobiota|Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176709666018731	0	0
Bacteria|Deinococcota|Deinococci	0	0	0	0	0	0	0	0.00426894343649947	0.000568828213879408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Patescibacteria|Parcubacteria	0.000202142712755205	0	0	0.000710227272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Patescibacteria|Saccharimonadia	0.00040428542551041	0	0	0.000710227272727273	0	0	0	0	0.000284414106939704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Dependentiae|Babeliae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176709666018731	0	0
Bacteria|Cyanobacteria|Vampirivibrionia	0.000202142712755205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Abditibacteriota|Abditibacteria	0	0	0	0	0	0	0	0	0.000568828213879408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia	0.048312108348494	0.000985221674876847	0.242271505376344	0.144176136363636	0.00321802091713596	0.000299895036737142	0.112186537615486	0.0106723585912487	0.0065415244596132	0.0171682488386185	0.0154798761609907	0.000842696629213483	0	0.0440116845180136	0.124938755512004	0	0	0	0	0.0911962100276352	0	0	0	0.0411449016100179	0	0.0372857395299523	0.000938967136150235	0.0177664974619289
Bacteria|Elusimicrobiota|Lineage_IIc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Blastocatellia	0	0	0	0.000236742424242424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Verrucomicrobiota|Omnitrophia	0.000202142712755205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Nitrospirota|Nitrospiria	0	0	0	0	0	0.000149947518368571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi|Chloroflexia	0	0	0	0	0	0.000299895036737142	0	0	0.000284414106939704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Vicinamibacteria	0.00040428542551041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Planctomycetota|Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Gemmatimonadota|Gemmatimonadetes	0	0	0	0	0	0	0	0.000533617929562433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteriota|Coriobacteriia	0	0	0	0	0	0	0	0	0	0	0	0.000561797752808989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi|Dehalococcoidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteriota|Acidimicrobiia	0	0	0	0.000473484848484848	0	0.000149947518368571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteriota|Actinobacteria	0.000606428138265616	0	0.000168010752688172	0.0258049242424242	0	0.00299895036737142	0.00351957765068192	0.0368196371398079	0.0130830489192264	0.000403958796202787	0	0.00308988764044944	0	0.00194741966893866	0.00489955903968643	0	0	0	0	0.000789577575996842	0	0	0	0.00156529516994633	0	0.000530128998056194	0	0
Bacteria|Actinobacteriota|Rubrobacteria	0	0	0	0.000236742424242424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteriota|Thermoleophilia	0	0	0	0	0	0	0	0.000533617929562433	0.000284414106939704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia	0.00101071356377603	0	0	0.00118371212121212	0	0.00194931773879142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000883548330093656	0	0
Bacteria|Firmicutes|Negativicutes	0	0	0	0	0	0	0	0	0	0	0	0.00421348314606742	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123696766213112	0	0
Bacteria|Proteobacteria|Gammaproteobacteria	0.594501718213058	0.370443349753695	0.724630376344086	0.1796875	0.0764279967819791	0.0185934922777028	0.663880334359877	0.64247598719317	0.052901023890785	0.909109270854373	0.575851393188854	0.075	0.17722602739726	0.348198636806232	0.733219010289074	0.0120967741935484	0	0.00351493848857645	0	0.378997236478484	0	0.00992063492063492	0.0127450980392157	0.576252236135957	0.00187617260787992	0.854744654532603	0.453521126760563	0.131979695431472
Bacteria|Campylobacterota|Campylobacteria	0	0	0	0.00189393939393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned|NA|NA|NA	0	0	0.00621639784946237	0	0.0201126307320998	0	0.11086669599648	0	0	0.00525146435063624	0	0	0.145547945205479	0.00701071080817916	0.00122488975992161	0	0	0	0	0	0	0	0	0.00380143112701252	0	0.00583141897861813	0	0.000846023688663283
Eukaryota|NA|NA|NA	0	0	0.00134408602150538	0	0.00241351568785197	0	0.0206775186977563	0	0	0.00161583518481115	0	0	0.0325342465753425	0.00155793573515093	0.000244977951984321	0	0	0	0	0	0	0	0	0.00156529516994633	0	0.00123696766213112	0	0.00253807106598985
Bacteria|NA|NA|NA	0	0	0.000168010752688172	0	0	0	0.0043994720633524	0	0	0	0	0	0	0	0.000244977951984321	0	0	0	0	0	0	0	0	0.000447227191413238	0	0.000530128998056194	0	0
Eukaryota|Ascomycota|Sordariomycetes|Glomerellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota|Retaria|Foraminifera|Rotaliida	0	0	0	0	0	0	0.00131984161900572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota|Phragmoplastophyta|Embryophyta|Apiales	0	0	0	0	0	0	0	0	0	0	0	0	0.00342465753424658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Fusobacteriota|Fusobacteriia|Fusobacteriales	0	0	0	0.000473484848484848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales	0.0580149585607439	0.62807881773399	0.0250336021505376	0.0558712121212121	0.897827835880933	0.9685110211426	0.0831500219973603	0.0976520811099253	0.872866894197952	0.0634215310038376	0.306501547987616	0.912078651685393	0.639554794520548	0.594741966893866	0.131798138167565	0.987903225806452	1	0.977152899824253	1	0.527832609553889	1	0.990079365079365	0.97843137254902	0.37298747763864	0.99812382739212	0.092065735995759	0.538967136150235	0.846869712351946
Bacteria|Myxococcota|Polyangia|Haliangiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bdellovibrionota|Oligoflexia|0319-6G20	0.000202142712755205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bdellovibrionota|Bdellovibrionia|Bdellovibrionales	0.000202142712755205	0	0	0.00189393939393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Desulfobacterota|Desulfovibrionia|Desulfovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0.00171232876712329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Micavibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Reyranellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Azospirillales	0	0	0	0	0	0	0	0.00266808964781217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Acetobacterales	0	0	0	0	0	0.00119958014694857	0	0.00213447171824973	0.000284414106939704	0	0.00928792569659443	0.000842696629213483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0.00586213866990095	0	0	0.176846590909091	0	0.000449842555105713	0	0.028281750266809	0.0258816837315131	0	0.0402476780185759	0.000842696629213483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0.0380028299979786	0.000492610837438424	0.000168010752688172	0.346590909090909	0	0.000449842555105713	0	0.0314834578441836	0.017349260523322	0.00242375277721672	0.0154798761609907	0	0	0.000973709834469328	0.00171484566389025	0	0	0	0	0.000789577575996842	0	0	0.000980392156862745	0.000670840787119857	0	0.00106025799611239	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	0.000202142712755205	0	0	0.00449810606060606	0	0.000749737591842855	0	0.00907150480256137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	0.000202142712755205	0	0	0.00213068181818182	0	0	0	0.00213447171824973	0.00113765642775882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales	0	0	0	0.00118371212121212	0	0.000149947518368571	0	0.0128068303094984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000980392156862745	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|NRL2	0	0	0	0.000473484848484848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Verrucomicrobiota|Chlamydiae|Chlamydiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176709666018731	0	0
Bacteria|Deinococcota|Deinococci|Deinococcales	0	0	0	0	0	0	0	0.00426894343649947	0.000568828213879408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Patescibacteria|Parcubacteria|Candidatus_Kaiserbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Patescibacteria|Parcubacteria|Candidatus_Adlerbacteria	0	0	0	0.000710227272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Patescibacteria|Parcubacteria|Candidatus_Azambacteria	0.000202142712755205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Patescibacteria|Saccharimonadia|Saccharimonadales	0.00040428542551041	0	0	0.000710227272727273	0	0	0	0	0.000284414106939704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Dependentiae|Babeliae|Babeliales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176709666018731	0	0
Bacteria|Cyanobacteria|Vampirivibrionia|Caenarcaniphilales	0.000202142712755205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Abditibacteriota|Abditibacteria|Abditibacteriales	0	0	0	0	0	0	0	0	0.000568828213879408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Cytophagales	0.000606428138265616	0	0	0.00142045454545455	0	0	0	0.00213447171824973	0.00398179749715586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales	0	0	0	0.000236742424242424	0	0.000149947518368571	0	0.00373532550693703	0.000284414106939704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Sphingobacteriales	0.00161714170204164	0	0.000672043010752688	0.00946969696969697	0	0	0	0	0.00170648464163823	0	0	0	0	0.00116845180136319	0.000979911807937286	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales	0	0	0	0.000473484848484848	0	0.000149947518368571	0	0.0032017075773746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales	0.0460885385081868	0.000985221674876847	0.241599462365591	0.132575757575758	0.00321802091713596	0	0.112186537615486	0.0016008537886873	0.000568828213879408	0.0171682488386185	0.0154798761609907	0.000842696629213483	0	0.0428432327166504	0.123958843704067	0	0	0	0	0.0911962100276352	0	0	0	0.0411449016100179	0	0.0372857395299523	0.000938967136150235	0.0177664974619289
Bacteria|Elusimicrobiota|Lineage_IIc|Lineage_IIc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Blastocatellia|Blastocatellales	0	0	0	0.000236742424242424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Verrucomicrobiota|Omnitrophia|Omnitrophales	0.000202142712755205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Nitrospirota|Nitrospiria|Nitrospirales	0	0	0	0	0	0.000149947518368571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi|Chloroflexia|Kallotenuales	0	0	0	0	0	0	0	0	0.000284414106939704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Vicinamibacteria|Vicinamibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Vicinamibacteria|Subgroup_17	0.00040428542551041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Planctomycetota|Planctomycetes|Planctomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Gemmatimonadota|Gemmatimonadetes|Gemmatimonadales	0	0	0	0	0	0	0	0.000533617929562433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteriota|Coriobacteriia|Coriobacteriales	0	0	0	0	0	0	0	0	0	0	0	0.000561797752808989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi|Chloroflexia|Thermomicrobiales	0	0	0	0	0	0.000299895036737142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi|Dehalococcoidia|GIF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteriota|Acidimicrobiia|Microtrichales	0	0	0	0.000473484848484848	0	0.000149947518368571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteriota|Actinobacteria|Frankiales	0	0	0	0	0	0	0	0.0016008537886873	0.00312855517633675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteriota|Actinobacteria|Kineosporiales	0	0	0	0	0	0	0	0	0.00142207053469852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
