"isolate.id"	"sseqid"	"sample.id"	"medium"	"temp"	"oxygen"	"miseq.id"	"pseudoprod"	"protein.source"	"texture"	"treatment"	"atmosphere"	"freezing"	"daysleft"	"freshness"	"centered_cooking_time_clustered"	"bbd_exp"	"additional_recommendation"	"colony_density"	"after_opening_clustered"	"profile"	"profilelong"	"no.ingredients"	"group"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"A1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B8"	"C1"	"C3"	"A2"	"C5"	"C6"	"C8"	"D1"	"D2"	"D3"	"D4"	"D5"	"A3"	"D6"	"D7"	"D8"	"A4"	"A5"	"A6"	"A7"	"A8"
"21"	"AXBP_021.27F"	"eae7229c6433807c37836e2f66908325"	"C5"	"bairdparker"	37	"aerobic"	"Veggie21"	"producer 7"	"soy"	"fibrous"	"pre-heated"	"MAP"	"notfrozen"	0	"o"	"3-5 min"	"best before date"	"consume only thorougly heated"	"high"	"no rec."	"Le"	"Leuconostocaceae"	14	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Leuconostoc"	"Leuconostoc_citreum"	0	0	0	0	0.00482703137570394	0	0	0	0	0	0.00140449438202247	0	0	0	0	0.0764705882352941	0	0	0	0.00452488687782805	0.445436507936508	0	0	0.00187617260787992	0.00176709666018731	0.00845070422535211	0
"22"	"AXPC_005.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"C3"	"pca"	37	"aerobic"	"Veggie19"	"producer 5"	"soy"	"fibrous"	"pre-heated"	"MAP"	"frozen"	10	"f"	"5-8 min"	"expiration date"	"no rec."	"medium"	"no rec."	"La"	"Lactobacillus"	16	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"23"	"AXPC_017.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"C8"	"pca"	37	"aerobic"	"Veggie24"	"producer 8"	"soy"	"fibrous"	"unclear"	"MAP"	"notfrozen"	8	"f"	"3-5 min"	"best before date"	"consume only thorougly heated"	"high"	"0"	"La"	"Lactobacillus"	23	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"24"	"AXPC_025.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B2"	"pca"	37	"aerobic"	"Veggie10"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	5	"o"	"5-8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	15	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"25"	"AXPC_026.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B2"	"pca"	37	"aerobic"	"Veggie10"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	5	"o"	"5-8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	15	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"26"	"AXPC_041.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B6"	"pca"	37	"aerobic"	"Veggie14"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	3	"o"	">8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	12	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"27"	"FR_AXB_010.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"C3"	"columbia"	37	"aerobic"	"Veggie19"	"producer 5"	"soy"	"fibrous"	"pre-heated"	"MAP"	"frozen"	10	"f"	"5-8 min"	"expiration date"	"no rec."	"medium"	"no rec."	"La"	"Lactobacillus"	16	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"28"	"10.27F"	"940413b6781f4759dae7763613bed032"	"A4"	"nutrient"	25	"aerobic"	"Veggie4"	"producer 1"	"pea"	"minced"	"unclear"	"MAP"	"notfrozen"	2	"o"	"5-8 min"	"expiration date"	"consume only thorougly heated"	"high"	"0"	"Pro"	"Proteobacteria"	18	"pea-minced"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	NA	0	0.000985221674876847	0.00386424731182796	0	0	0	0.00835899692036956	0.000533617929562433	0	0.0218137749949505	0	0.026541095890411	0.0146056475170399	0.0183733463988241	0	0	0	0	0.00157915515199368	0	0	0	0.00715563506261181	0	0.0404665135182894	0	0.00846023688663283
"29"	"11.27F"	"0a8db22a9d9bc03ae4aa272d275d38d1"	"A4"	"gsp"	25	"aerobic"	"Veggie4"	"producer 1"	"pea"	"minced"	"unclear"	"MAP"	"notfrozen"	2	"o"	"5-8 min"	"expiration date"	"consume only thorougly heated"	"high"	"0"	"Pro"	"Proteobacteria"	18	"pea-minced"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA	0	0.0472906403940887	0.037130376344086	0.00142045454545455	0.00884955752212389	0	0.0307963044434668	0.00106723585912487	0	0.0173702282367199	0	0	0.0220058422590068	0.0328270455658991	0	0	0	0	0.0153967627319384	0	0	0	0.0507602862254025	0	0.0220887082523414	0.0234741784037559	0.00423011844331641
"30"	"12.27F"	"6294929bd61a09b932614f93a4745198"	"A4"	"gsp"	25	"aerobic"	"Veggie4"	"producer 1"	"pea"	"minced"	"unclear"	"MAP"	"notfrozen"	2	"o"	"5-8 min"	"expiration date"	"consume only thorougly heated"	"high"	"0"	"Pro"	"Proteobacteria"	18	"pea-minced"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Serratia"	NA	0	0	0.0011760752688172	0	0	0	0	0	0	0.00141385578670976	0	0	0.00350535540408958	0.00489955903968643	0	0	0	0	0.0019739439399921	0	0	0	0.0201252236135957	0	0.000883548330093656	0	0
