#isolate.id individual id of the isolate				
#sample.id sample id where the isolate is from				
#medium cultivation medium				
#temp cultivation temperature				
#oxygen conditions of the cultivation				
isolate.id	sample.id	medium	temp	oxygen
AXB_075.27F	B2	columbia	37	aerobic
AXB_076.27F	B6	columbia	37	aerobic
AXB_077.27F	B7	columbia	37	aerobic
AXB_078.27F	C5	columbia	37	aerobic
AXB_079.27F	C7	columbia	37	aerobic
AXB_080.27F	C8	columbia	37	aerobic
AXB_081.27F	D1	columbia	37	aerobic
AXB_082.27F	D2	columbia	37	aerobic
AXB_083.27F	D3	columbia	37	aerobic
AXB_084.27F	D3	columbia	37	aerobic
AXB_085.27F	D5	columbia	37	aerobic
AXB_086.27F	D5	columbia	37	aerobic
AXB_087.27F	D6	columbia	37	aerobic
AXB_088.27F	D8	columbia	37	aerobic
AXB_088a.27F	A8	columbia	37	aerobic
AXB_088b.27F	A8	columbia	37	aerobic
AXB_088c.27F	B2	columbia	37	aerobic
AXB_088d.27F	A5	columbia	37	aerobic
AXB_088e.27F	A3	columbia	37	aerobic
AXB_088f.27F	D6	columbia	37	aerobic
AXB_089.27F	A2	columbia	37	aerobic
AXB_090.27F	B6	columbia	37	aerobic
AXB_091.27F	D7	columbia	37	aerobic
AXB_092.27F	D8	columbia	37	aerobic
AXB_093.27F	D8	columbia	37	aerobic
AXB_094.27F	D8	columbia	37	aerobic
AXB_095.27F	D8	columbia	37	aerobic
AXB_096.27F	D8	columbia	37	aerobic
AXB_097.27F	B2	columbia	37	aerobic
AXB_098.27F	B2	columbia	37	aerobic
AXB_099.27F	B2	columbia	37	aerobic
AXB_100.27F	B7	columbia	37	aerobic
AXB_101.27F	B7	columbia	37	aerobic
AXB_102.27F	C5	columbia	37	aerobic
AXB_103.27F	C5	columbia	37	aerobic
AXB_104.27F	C5	columbia	37	aerobic
AXB_105.27F	C5	columbia	37	aerobic
AXB_106.27F	D3	columbia	37	aerobic
AXB_107.27F	D3	columbia	37	aerobic
AXB_108.27F	D3	columbia	37	aerobic
AXB_109.27F	B2	columbia	37	aerobic
AXB_110.27F	B2	columbia	37	aerobic
AXB_111.27F	B2	columbia	37	aerobic
AXB_112.27F	B6	columbia	37	aerobic
AXB_113.27F	B6	columbia	37	aerobic
AXB_114.27F	C5	columbia	37	aerobic
AXB_115.27F	C8	columbia	37	aerobic
AXB_116.27F	D6	columbia	37	aerobic
AXB_117.27F	D8	columbia	37	aerobic
AXB_118.27F	D3	columbia	37	aerobic
AXB_119.27F	D3	columbia	37	aerobic
AXB_120.27F	D3	columbia	37	aerobic
AXB_121.27F	D4	columbia	37	aerobic
AXB_122.27F	D3	columbia	37	aerobic
AXB_123.27F	D3	columbia	37	aerobic
AXBH_001.27F	C1	bhi	37	aerobic
AXBH_002.27F	C2	bhi	37	aerobic
AXBH_003.27F	C2	bhi	37	aerobic
AXBH_004.27F	C2	bhi	37	aerobic
AXBH_005.27F	C3	bhi	37	aerobic
AXBH_006.27F	C3	bhi	37	aerobic
AXBH_007.27F	C3	bhi	37	aerobic
AXBH_008.27F	C4	bhi	37	aerobic
AXBH_009.27F	C4	bhi	37	aerobic
AXBH_010.27F	C4	bhi	37	aerobic
AXBH_011.27F	C5	bhi	37	aerobic
AXBH_012.27F	C5	bhi	37	aerobic
AXBH_013.27F	C5	bhi	37	aerobic
AXBH_014.27F	C5	bhi	37	aerobic
AXBH_015.27F	C5	bhi	37	aerobic
AXBH_016.27F	C6	bhi	37	aerobic
AXBH_017.27F	C6	bhi	37	aerobic
AXBH_018.27F	C6	bhi	37	aerobic
AXBH_019.27F	C7	bhi	37	aerobic
AXBH_020.27F	C7	bhi	37	aerobic
AXBH_021.27F	C7	bhi	37	aerobic
AXBH_022.27F	C8	bhi	37	aerobic
AXBH_023.27F	C8	bhi	37	aerobic
AXBH_024.27F	C8	bhi	37	aerobic
AXBH_025.27F	B3	bhi	37	aerobic
AXBH_026.27F	B3	bhi	37	aerobic
AXBH_027.27F	B3	bhi	37	aerobic
AXBH_028.27F	B6	bhi	37	aerobic
AXBH_029.27F	B6	bhi	37	aerobic
AXBH_030.27F	B6	bhi	37	aerobic
AXBH_031.27F	A1	bhi	37	aerobic
AXBH_032.27F	A1	bhi	37	aerobic
AXBH_033.27F	A1	bhi	37	aerobic
AXBH_034.27F	A1	bhi	37	aerobic
AXBH_035.27F	A1	bhi	37	aerobic
AXBH_036.27F	A1	bhi	37	aerobic
AXBH_037.27F	A1	bhi	37	aerobic
AXBH_038.27F	A2	bhi	37	aerobic
AXBH_039.27F	A4	bhi	37	aerobic
AXBH_040.27F	A4	bhi	37	aerobic
AXBH_041.27F	A5	bhi	37	aerobic
AXBH_042.27F	A7	bhi	37	aerobic
AXBH_043.27F	B2	bhi	37	aerobic
AXBH_044.27F	C5	bhi	37	aerobic
AXBH_045.27F	D2	bhi	37	aerobic
AXBH_046.27F	D5	bhi	37	aerobic
AXBH_047.27F	D7	bhi	37	aerobic
AXBH_048.27F	D8	bhi	37	aerobic
AXBH_049.27F	D8	bhi	37	aerobic
AXBH_049a.27F	A8	bhi	37	aerobic
AXBH_050.27F	A2	bhi	37	aerobic
AXBH_051.27F	B2	bhi	37	aerobic
AXBH_052.27F	D2	bhi	37	aerobic
AXBH_053.27F	D5	bhi	37	aerobic
AXBH_054.27F	D2	bhi	37	aerobic
AXBH_055.27F	D2	bhi	37	aerobic
AXBH_056.27F	D5	bhi	37	aerobic
AXBH_057.27F	D6	bhi	37	aerobic
AXBH_057a.27F	A8	bhi	37	aerobic
AXBH_058.27F	A4	bhi	37	aerobic
AXBH_059.27F	A4	bhi	37	aerobic
AXBH_060.27F	A5	bhi	37	aerobic
AXBH_061.27F	A7	bhi	37	aerobic
AXBH_062.27F	B6	bhi	37	aerobic
AXBH_063.27F	D1	bhi	37	aerobic
AXBH_064.27F	D2	bhi	37	aerobic
AXBH_065.27F	D6	bhi	37	aerobic
AXBH_066.27F	D6	bhi	37	aerobic
AXBH_067.27F	D7	bhi	37	aerobic
AXBH_068.27F	D7	bhi	37	aerobic
AXBH_069.27F	A2	bhi	37	aerobic
AXBH_070.27F	A2	bhi	37	aerobic
AXBH_071.27F	B2	bhi	37	aerobic
AXBH_072.27F	B2	bhi	37	aerobic
AXBH_073.27F	B7	bhi	37	aerobic
AXBH_074.27F	D5	bhi	37	aerobic
AXBH_075.27F	D8	bhi	37	aerobic
AXBH_076.27F	D8	bhi	37	aerobic
AXBH_077.27F	D8	bhi	37	aerobic
AXBH_078.27F	A2	bhi	37	aerobic
AXBH_079.27F	A7	bhi	37	aerobic
AXBH_080.27F	B2	bhi	37	aerobic
AXBH_081.27F	B7	bhi	37	aerobic
AXBH_082.27F	B7	bhi	37	aerobic
AXBH_083.27F	C5	bhi	37	aerobic
AXBH_084.27F	C5	bhi	37	aerobic
AXBH_084a.27F	A8	bhi	37	aerobic
AXBH_085.27F	A2	bhi	37	aerobic
AXBH_086.27F	B2	bhi	37	aerobic
AXBH_087.27F	B2	bhi	37	aerobic
AXBH_088.27F	D2	bhi	37	aerobic
AXBH_089.27F	D6	bhi	37	aerobic
AXBH_090.27F	D8	bhi	37	aerobic
AXBH_091.27F	D4	bhi	37	aerobic
AXBH_092.27F	D4	bhi	37	aerobic
AXBH_093.27F	D3	bhi	37	aerobic
AXBH_094.27F	D3	bhi	37	aerobic
AXBP_001.27F	D1	bairdparker	37	aerobic
AXBP_002.27F	D1	bairdparker	37	aerobic
AXBP_003.27F	D1	bairdparker	37	aerobic
AXBP_004.27F	D2	bairdparker	37	aerobic
AXBP_005.27F	D2	bairdparker	37	aerobic
AXBP_006.27F	D4	bairdparker	37	aerobic
AXBP_007.27F	D4	bairdparker	37	aerobic
AXBP_008.27F	D4	bairdparker	37	aerobic
AXBP_009.27F	D5	bairdparker	37	aerobic
AXBP_010.27F	D6	bairdparker	37	aerobic
AXBP_011.27F	D8	bairdparker	37	aerobic
AXBP_012.27F	D8	bairdparker	37	aerobic
AXBP_013.27F	D8	bairdparker	37	aerobic
AXBP_014.27F	C2	bairdparker	37	aerobic
AXBP_015.27F	C5	bairdparker	37	aerobic
AXBP_016.27F	C5	bairdparker	37	aerobic
AXBP_017.27F	C5	bairdparker	37	aerobic
AXBP_018.27F	C5	bairdparker	37	aerobic
AXBP_019.27F	C5	bairdparker	37	aerobic
AXBP_020.27F	C5	bairdparker	37	aerobic
AXBP_021.27F	C5	bairdparker	37	aerobic
AXBP_022.27F	C6	bairdparker	37	aerobic
AXBP_023.27F	C6	bairdparker	37	aerobic
AXBP_024.27F	C8	bairdparker	37	aerobic
AXBP_025.27F	B2	bairdparker	37	aerobic
AXBP_026.27F	B5	bairdparker	37	aerobic
AXBP_027.27F	B5	bairdparker	37	aerobic
AXBP_028.27F	B7	bairdparker	37	aerobic
AXBP_029.27F	A1	bairdparker	37	aerobic
AXBP_030.27F	A1	bairdparker	37	aerobic
AXBP_031.27F	A1	bairdparker	37	aerobic
AXBP_032.27F	A1	bairdparker	37	aerobic
AXBP_033.27F	A2	bairdparker	37	aerobic
AXBP_034.27F	A2	bairdparker	37	aerobic
AXBP_035.27F	A2	bairdparker	37	aerobic
AXBP_036.27F	A4	bairdparker	37	aerobic
AXBP_037.27F	A4	bairdparker	37	aerobic
AXBP_038.27F	A4	bairdparker	37	aerobic
AXBP_039.27F	A4	bairdparker	37	aerobic
AXBP_040.27F	A4	bairdparker	37	aerobic
AXBP_041.27F	A5	bairdparker	37	aerobic
AXBP_042.27F	A8	bairdparker	37	aerobic
AXBP_043.27F	A8	bairdparker	37	aerobic
AXBP_044.27F	A8	bairdparker	37	aerobic
AXBR_001.27F	D1	bengalrose	37	aerobic
AXBR_002.27F	D3	bengalrose	37	aerobic
AXBR_003.27F	D3	bengalrose	37	aerobic
AXBR_004.27F	D3	bengalrose	37	aerobic
AXBR_005.27F	D3	bengalrose	37	aerobic
AXBR_006.27F	D6	bengalrose	37	aerobic
AXBR_007.27F	D7	bengalrose	37	aerobic
AXBR_008.27F	D7	bengalrose	37	aerobic
AXBR_009.27F	A2	bengalrose	37	aerobic
AXBR_010.27F	A2	bengalrose	37	aerobic
AXBR_011.27F	A2	bengalrose	37	aerobic
AXBR_012.27F	A2	bengalrose	37	aerobic
AXBR_013.27F	A8	bengalrose	37	aerobic
AXBR_014.27F	A8	bengalrose	37	aerobic
AXPC_001.27F	C2	pca	37	aerobic
AXPC_002.27F	C2	pca	37	aerobic
AXPC_003.27F	C3	pca	37	aerobic
AXPC_004.27F	C3	pca	37	aerobic
AXPC_005.27F	C3	pca	37	aerobic
AXPC_006.27F	C4	pca	37	aerobic
AXPC_007.27F	C4	pca	37	aerobic
AXPC_008.27F	C4	pca	37	aerobic
AXPC_009.27F	C6	pca	37	aerobic
AXPC_010.27F	C6	pca	37	aerobic
AXPC_011.27F	C6	pca	37	aerobic
AXPC_012.27F	C6	pca	37	aerobic
AXPC_013.27F	C7	pca	37	aerobic
AXPC_014.27F	C8	pca	37	aerobic
AXPC_015.27F	C8	pca	37	aerobic
AXPC_016.27F	C8	pca	37	aerobic
AXPC_017.27F	C8	pca	37	aerobic
AXPC_018.27F	B1	pca	37	aerobic
AXPC_019.27F	B1	pca	37	aerobic
AXPC_020.27F	B1	pca	37	aerobic
AXPC_021.27F	B1	pca	37	aerobic
AXPC_022.27F	B1	pca	37	aerobic
AXPC_023.27F	B1	pca	37	aerobic
AXPC_024.27F	B2	pca	37	aerobic
AXPC_025.27F	B2	pca	37	aerobic
AXPC_026.27F	B2	pca	37	aerobic
AXPC_027.27F	B3	pca	37	aerobic
AXPC_028.27F	B3	pca	37	aerobic
AXPC_029.27F	B4	pca	37	aerobic
AXPC_030.27F	B4	pca	37	aerobic
AXPC_031.27F	B4	pca	37	aerobic
AXPC_032.27F	B4	pca	37	aerobic
AXPC_033.27F	B4	pca	37	aerobic
AXPC_034.27F	B4	pca	37	aerobic
AXPC_035.27F	B5	pca	37	aerobic
AXPC_036.27F	B5	pca	37	aerobic
AXPC_037.27F	B5	pca	37	aerobic
AXPC_038.27F	B5	pca	37	aerobic
AXPC_039.27F	B6	pca	37	aerobic
AXPC_040.27F	B6	pca	37	aerobic
AXPC_041.27F	B6	pca	37	aerobic
AXPC_042.27F	A1	pca	37	aerobic
AXPC_043.27F	A1	pca	37	aerobic
AXPC_044.27F	A1	pca	37	aerobic
AXPC_045.27F	A1	pca	37	aerobic
AXPC_046.27F	A1	pca	37	aerobic
AXPC_047.27F	A1	pca	37	aerobic
AXPC_048.27F	A1	pca	37	aerobic
AXPC_049.27F	A1	pca	37	aerobic
AXPC_050.27F	A6	pca	37	aerobic
AXPC_051.27F	A6	pca	37	aerobic
AXPC_052.27F	A6	pca	37	aerobic
AXPC_053.27F	A6	pca	37	aerobic
AXPC_054.27F	A6	pca	37	aerobic
AXPC_055.27F	A2	pca	37	aerobic
AXPC_056.27F	A4	pca	37	aerobic
AXPC_057.27F	B2	pca	37	aerobic
AXPC_058.27F	B2	pca	37	aerobic
AXPC_059.27F	D4	pca	37	aerobic
AXPC_059a.27F	A8	pca	37	aerobic
AXPC_060.27F	D2	pca	37	aerobic
AXPC_061.27F	D3	pca	37	aerobic
AXPC_062.27F	D6	pca	37	aerobic
AXPC_063.27F	A2	pca	37	aerobic
AXPC_064.27F	A3	pca	37	aerobic
AXPC_065.27F	A4	pca	37	aerobic
AXPC_066.27F	A4	pca	37	aerobic
AXPC_067.27F	A5	pca	37	aerobic
AXPC_068.27F	A7	pca	37	aerobic
AXPC_069.27F	B2	pca	37	aerobic
AXPC_070.27F	B6	pca	37	aerobic
AXPC_071.27F	C5	pca	37	aerobic
AXPC_072.27F	D1	pca	37	aerobic
AXPC_073.27F	D2	pca	37	aerobic
AXPC_074.27F	D3	pca	37	aerobic
AXPC_075.27F	D5	pca	37	aerobic
AXPC_076.27F	D6	pca	37	aerobic
AXPC_077.27F	D7	pca	37	aerobic
AXPC_078.27F	D8	pca	37	aerobic
AXPC_078a.27F	A8	pca	37	aerobic
AXPC_078b.27F	B7	pca	37	aerobic
AXPC_078c.27F	NA	pca	37	aerobic
AXPC_079.27F	D7	pca	37	aerobic
AXPC_080.27F	C5	pca	37	aerobic
AXPC_081.27F	D8	pca	37	aerobic
AXPC_082.27F	A2	pca	37	aerobic
AXPC_083.27F	C5	pca	37	aerobic
AXPC_084.27F	C5	pca	37	aerobic
AXPC_085.27F	A2	pca	37	aerobic
AXPC_086.27F	A2	pca	37	aerobic
AXPC_087.27F	D3	pca	37	aerobic
AXPC_088.27F	D6	pca	37	aerobic
AXPC_089.27F	D4	pca	37	aerobic
AXPC_090.27F	D7	pca	37	aerobic
AXVR_001.27F	D2	vrbd	37	aerobic
AXVR_002.27F	D2	vrbd	37	aerobic
AXVR_003.27F	D2	vrbd	37	aerobic
AXVR_004.27F	D2	vrbd	37	aerobic
AXVR_005.27F	D2	vrbd	37	aerobic
AXVR_006.27F	D3	vrbd	37	aerobic
AXVR_007.27F	D3	vrbd	37	aerobic
AXVR_008.27F	D4	vrbd	37	aerobic
AXVR_009.27F	D4	vrbd	37	aerobic
AXVR_010.27F	D4	vrbd	37	aerobic
AXVR_011.27F	D4	vrbd	37	aerobic
AXVR_012.27F	D4	vrbd	37	aerobic
AXVR_013.27F	D7	vrbd	37	aerobic
AXVR_013a.27F	NA	vrbd	37	aerobic
AXVR_014.27F	D7	vrbd	37	aerobic
AXVR_015.27F	D7	vrbd	37	aerobic
